Label,Size,Period,Accuracy,Run Rate
可回收物_电熨斗,96,3.578125,0.9166666666666666,0.037272135416666664
可回收物_电视遥控器,28,1.03125,0.8214285714285714,0.036830357142857144
可回收物_电路板,97,3.5625,0.6494845360824743,0.03672680412371134
可回收物_登机牌,84,2.828125,0.8333333333333334,0.03366815476190476
可回收物_盘子,50,1.78125,0.06,0.035625
可回收物_碗,164,6.171875,0.6280487804878049,0.037633384146341466
可回收物_空气加湿器,75,2.609375,0.5066666666666667,0.034791666666666665
可回收物_空调遥控器,100,3.578125,0.93,0.03578125
可回收物_纸牌,86,3.296875,0.3372093023255814,0.03833575581395349
可回收物_纸箱,171,6.109375,0.7134502923976608,0.03572733918128655
可回收物_罐头瓶,106,3.46875,0.5660377358490566,0.03272405660377359
可回收物_网卡,84,2.890625,0.8333333333333334,0.034412202380952384
可回收物_耳套,22,0.84375,0.5454545454545454,0.03835227272727273
可回收物_耳机,63,2.359375,0.6666666666666666,0.037450396825396824
可回收物_耳钉耳环,161,6.171875,0.639751552795031,0.038334627329192544
可回收物_芭比娃娃,42,1.625,0.6428571428571429,0.03869047619047619
可回收物_茶叶罐,98,3.78125,0.8979591836734694,0.038584183673469385
可回收物_蛋糕盒,98,3.625,0.8061224489795918,0.036989795918367346
可回收物_螺丝刀,25,0.9375,0.28,0.0375
可回收物_衣架,120,4.140625,0.7416666666666667,0.034505208333333336
可回收物_袜子,99,3.46875,0.29292929292929293,0.035037878787878785
可回收物_裤子,65,2.21875,0.7384615384615385,0.03413461538461538
可回收物_计算器,84,3.0625,0.8571428571428571,0.036458333333333336
可回收物_订书机,28,0.984375,0.6071428571428571,0.03515625
可回收物_话筒,39,1.390625,0.28205128205128205,0.03565705128205128
可回收物_购物纸袋,221,7.625,0.8099547511312217,0.034502262443438916
可回收物_路由器,24,0.84375,0.5833333333333334,0.03515625
可回收物_车钥匙,205,7.265625,0.8536585365853658,0.035442073170731704
可回收物_量杯,80,2.65625,0.6125,0.033203125
可回收物_钉子,18,0.734375,0.5,0.04079861111111111
可回收物_钟表,180,6.484375,0.75,0.03602430555555555
可回收物_钢丝球,100,3.28125,0.68,0.0328125
可回收物_锅,26,0.75,0.8461538461538461,0.028846153846153848
可回收物_锅盖,69,2.421875,0.8840579710144928,0.035099637681159424
可回收物_键盘,100,3.296875,0.91,0.03296875
可回收物_镊子,84,2.65625,0.6785714285714286,0.03162202380952381
可回收物_鞋,224,7.875,0.7053571428571429,0.03515625
可回收物_餐垫,46,1.859375,0.13043478260869565,0.04042119565217391
可回收物_鼠标,29,0.921875,0.5862068965517241,0.03178879310344827
有害垃圾_LED灯泡,72,2.546875,0.7222222222222222,0.03537326388888889
有害垃圾_保健品瓶,48,1.578125,0.7708333333333334,0.032877604166666664
有害垃圾_口服液瓶,13,0.390625,0.3076923076923077,0.030048076923076924
有害垃圾_指甲油,7,0.234375,0.42857142857142855,0.033482142857142856
有害垃圾_杀虫剂,107,3.765625,0.822429906542056,0.03519275700934579
